player,born,nation,positions,team_count,league_count,season_count,teams,leagues,seasons,player_id,matched_name,match_type,matched_flag,join_player,born_int
Alex Padilla,2003.0,ESP,GK,1,1,1,Athletic Club,ESP-La Liga,2023-24,834483.0,Álex Padilla,exact_name_plus_birth_year,True,alex padilla,2003
Alex Petxa,1997.0,ESP,DF,1,1,1,Athletic Club,ESP-La Liga,2021-22,527838.0,Álex Petxa,exact_name_plus_birth_year,True,alex petxa,1997
Alex Pritchard,1993.0,ENG,"FW,MF",1,1,1,Huddersfield Town,ENG-Premier League,2018-19,200777.0,Alex Pritchard,exact_name_plus_birth_year,True,alex pritchard,1993
Alex Quevedo,2004.0,ESP,GK,1,1,1,Mallorca,ESP-La Liga,2023-24,892421.0,Alex Quevedo,exact_name_plus_birth_year,True,alex quevedo,2004
Alex Robertson,2003.0,AUS,MF,1,1,1,Manchester City,ENG-Premier League,2022-23,609887.0,Alex Robertson,exact_name_plus_birth_year,True,alex robertson,2003
Alex Rodríguez,2002.0,ESP,DF,1,1,1,Getafe,ESP-La Liga,2022-23,715635.0,Alex Rodríguez,exact_name_plus_birth_year,True,alex rodríguez,2002
Alex Sandro,1991.0,BRA,"DF, DF,MF",1,1,6,Juventus,ITA-Serie A,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",79960.0,Alex Sandro,exact_name_plus_birth_year,True,alex sandro,1991
Alex Scott,2003.0,ENG,MF,1,1,1,Bournemouth,ENG-Premier League,2023-24,855256.0,Alex Scott,exact_name_plus_birth_year,True,alex scott,2003
Alex Smithies,1990.0,ENG,GK,2,1,2,"Cardiff City, Leicester City",ENG-Premier League,"2018-19, 2022-23",33754.0,Alex Smithies,exact_name_plus_birth_year,True,alex smithies,1990
Alex Sola,1999.0,ESP,"DF, DF,FW, MF",2,1,4,"Alavés, Real Sociedad",ESP-La Liga,"2018-19, 2021-22, 2022-23, 2023-24",434990.0,Álex Sola,exact_name_plus_birth_year,True,alex sola,1999
Alex Telles,1992.0,BRA,"DF, DF,MF",2,2,3,"Manchester Utd, Sevilla","ENG-Premier League, ESP-La Liga","2020-21, 2021-22, 2022-23",255755.0,Alex Telles,exact_name_plus_birth_year,True,alex telles,1992
Alexander,1988.0,ARG,MF,1,1,2,Leganés,ESP-La Liga,"2018-19, 2019-20",,,,False,alexander,1988
Alexander Brunst,1995.0,GER,GK,1,1,1,Darmstadt 98,GER-Bundesliga,2023-24,146693.0,Alexander Brunst,exact_name_plus_birth_year,True,alexander brunst,1995
Alexander Callens,1992.0,PER,DF,1,1,1,Girona,ESP-La Liga,2022-23,147462.0,Alexander Callens,exact_name_plus_birth_year,True,alexander callens,1992
Alexander Djiku,1994.0,GHA,"DF, DF,MF",2,1,5,"Caen, Strasbourg",FRA-Ligue 1,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23",250844.0,Alexander Djiku,exact_name_plus_birth_year,True,alexander djiku,1994
Alexander Esswein,1990.0,GER,"DF, FW,MF, MF,FW",2,1,2,"Hertha BSC, Stuttgart",GER-Bundesliga,"2018-19, 2019-20",45662.0,Alexander Esswein,exact_name_plus_birth_year,True,alexander esswein,1990
Alexander Fuchs,1997.0,GER,MF,1,1,1,Nürnberg,GER-Bundesliga,2018-19,278323.0,Alexander Fuchs,exact_name_plus_birth_year,True,alexander fuchs,1997
Alexander Hack,1993.0,GER,DF,1,1,5,Mainz 05,GER-Bundesliga,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23",126281.0,Alexander Hack,exact_name_plus_birth_year,True,alexander hack,1993
Alexander Isak,1999.0,SWE,FW,2,2,5,"Newcastle United, Real Sociedad","ENG-Premier League, ESP-La Liga","2019-20, 2020-21, 2021-22, 2022-23, 2023-24",349066.0,Alexander Isak,exact_name_plus_birth_year,True,alexander isak,1999
Alexander Meyer,1991.0,GER,GK,1,1,2,Dortmund,GER-Bundesliga,"2022-23, 2023-24",76158.0,Alexander Meyer,exact_name_plus_birth_year,True,alexander meyer,1991
Alexander Nübel,1996.0,GER,GK,4,2,6,"Bayern Munich, Monaco, Schalke 04, Stuttgart","FRA-Ligue 1, GER-Bundesliga","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",195778.0,Alexander Nübel,exact_name_plus_birth_year,True,alexander nübel,1996
Alexander Schwolow,1992.0,GER,GK,4,1,6,"Freiburg, Hertha BSC, Schalke 04, Union Berlin",GER-Bundesliga,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",93763.0,Alexander Schwolow,exact_name_plus_birth_year,True,alexander schwolow,1992
Alexander Stolz,1983.0,GER,GK,1,1,1,Hoffenheim,GER-Bundesliga,2018-19,10329.0,Alexander Stolz,exact_name_plus_birth_year,True,alexander stolz,1983
Alexander Sørloth,1995.0,NOR,FW,4,3,5,"Crystal Palace, RB Leipzig, Real Sociedad, Villarreal","ENG-Premier League, ESP-La Liga, GER-Bundesliga","2018-19, 2020-21, 2021-22, 2022-23, 2023-24",238407.0,Alexander Sørloth,exact_name_plus_birth_year,True,alexander sørloth,1995
Alexander Tettey,1986.0,NOR,"MF,DF",1,1,1,Norwich City,ENG-Premier League,2019-20,12384.0,Alexander Tettey,exact_name_plus_birth_year,True,alexander tettey,1986
Alexandre Coeff,1992.0,FRA,DF,1,1,1,Auxerre,FRA-Ligue 1,2022-23,89450.0,Alexandre Coeff,exact_name_plus_birth_year,True,alexandre coeff,1992
Alexandre Conceicao,1999.0,POR,DF,1,1,1,Nice,FRA-Ligue 1,2019-20,,,,False,alexandre conceicao,1999
Alexandre Jankewitz,2001.0,SUI,MF,1,1,2,Southampton,ENG-Premier League,"2019-20, 2020-21",507472.0,Alexandre Jankewitz,exact_name_plus_birth_year,True,alexandre jankewitz,2001
Alexandre Lacazette,1991.0,FRA,"FW, FW,MF",2,2,6,"Arsenal, Lyon","ENG-Premier League, FRA-Ligue 1","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",93720.0,Alexandre Lacazette,exact_name_plus_birth_year,True,alexandre lacazette,1991
Alexandre Lauray,1997.0,FRA,DF,1,1,1,Bordeaux,FRA-Ligue 1,2018-19,666744.0,Alexandre Lauray,exact_name_plus_birth_year,True,alexandre lauray,1997
Alexandre Letellier,1990.0,FRA,GK,1,1,4,Paris Saint-Germain,FRA-Ligue 1,"2020-21, 2021-22, 2022-23, 2023-24",93730.0,Alexandre Letellier,exact_name_plus_birth_year,True,alexandre letellier,1990
Alexandre Mendy,1994.0,GNB,FW,3,1,3,"Bordeaux, Brest, Guingamp",FRA-Ligue 1,"2018-19, 2019-20, 2020-21",290561.0,Alexandre Mendy,exact_name_plus_birth_year,True,alexandre mendy,1994
Alexandre Olliero,1996.0,FRA,GK,2,1,4,"Nantes, Reims",FRA-Ligue 1,"2018-19, 2019-20, 2022-23, 2023-24",395602.0,Alexandre Olliero,exact_name_plus_birth_year,True,alexandre olliero,1996
Alexandre Oukidja,1988.0,ALG,GK,1,1,4,Metz,FRA-Ligue 1,"2019-20, 2020-21, 2021-22, 2023-24",56809.0,Alexandre Oukidja,exact_name_plus_birth_year,True,alexandre oukidja,1988
Alexandre Phliponeau,2000.0,FRA,MF,1,1,1,Marseille,FRA-Ligue 1,2019-20,585951.0,Alexandre Phliponeau,exact_name_plus_birth_year,True,alexandre phliponeau,2000
Alexandre Pierre,2001.0,HAI,GK,1,1,2,Strasbourg,FRA-Ligue 1,"2020-21, 2023-24",838947.0,Alexandre Pierre,exact_name_plus_birth_year,True,alexandre pierre,2001
Alexandre Tegar,2000.0,SMN,DF,1,1,1,Dijon,FRA-Ligue 1,2018-19,661257.0,Alexandre Tégar,exact_name_plus_birth_year,True,alexandre tegar,2000
Alexandre Tunkadi,2005.0,FRA,MF,1,1,1,Marseille,FRA-Ligue 1,2023-24,1021422.0,Alexandre Tunkadi,exact_name_plus_birth_year,True,alexandre tunkadi,2005
Alexandru Borbei,2003.0,ROU,GK,1,1,1,Lecce,ITA-Serie A,2023-24,667640.0,Alexandru Borbei,exact_name_plus_birth_year,True,alexandru borbei,2003
Alexandru Maxim,1990.0,ROU,"FW,MF, MF",1,1,2,Mainz 05,GER-Bundesliga,"2018-19, 2019-20",129513.0,Alexandru Maxim,exact_name_plus_birth_year,True,alexandru maxim,1990
Alexis Alegue,1996.0,FRA,"FW,MF",1,1,1,Nantes,FRA-Ligue 1,2018-19,228999.0,Alexis Alégué,exact_name_plus_birth_year,True,alexis alegue,1996
Alexis Beka Beka,2001.0,FRA,MF,1,1,2,Nice,FRA-Ligue 1,"2022-23, 2023-24",539065.0,Alexis Beka Beka,exact_name_plus_birth_year,True,alexis beka beka,2001
Alexis Blin,1996.0,FRA,MF,2,2,4,"Amiens, Lecce","FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2022-23, 2023-24",236041.0,Alexis Blin,exact_name_plus_birth_year,True,alexis blin,1996
Alexis Claude-Maurice,1998.0,FRA,"FW,MF, MF, MF,FW",2,1,5,"Lens, Nice",FRA-Ligue 1,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",384593.0,Alexis Claude-Maurice,exact_name_plus_birth_year,True,alexis claude-maurice,1998
Alexis Flips,2000.0,FRA,"MF, MF,DF",1,1,3,Reims,FRA-Ligue 1,"2020-21, 2021-22, 2022-23",395242.0,Alexis Flips,exact_name_plus_birth_year,True,alexis flips,2000
Alexis Lefebvre,2003.0,FRA,FW,1,1,1,Troyes,FRA-Ligue 1,2021-22,857154.0,Alexis Lefebvre,exact_name_plus_birth_year,True,alexis lefebvre,2003
Alexis Mac Allister,1998.0,ARG,"MF, MF,FW",2,1,5,"Brighton, Liverpool",ENG-Premier League,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",534033.0,Alexis Mac Allister,exact_name_plus_birth_year,True,alexis mac allister,1998
Alexis Saelemaekers,1999.0,BEL,MF,2,1,5,"Bologna, Milan",ITA-Serie A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",381950.0,Alexis Saelemaekers,exact_name_plus_birth_year,True,alexis saelemaekers,1999
Alexis Sánchez,1988.0,CHI,"FW, FW,MF",3,3,6,"Inter, Manchester Utd, Marseille","ENG-Premier League, FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",40433.0,Alexis Sánchez,exact_name_plus_birth_year,True,alexis sánchez,1988
Alexis Tibidi,2003.0,FRA,MF,2,2,2,"Stuttgart, Troyes","FRA-Ligue 1, GER-Bundesliga","2021-22, 2022-23",750886.0,Alexis Tibidi,exact_name_plus_birth_year,True,alexis tibidi,2003
Alexis Trouillet,2000.0,FRA,MF,1,1,3,Nice,FRA-Ligue 1,"2019-20, 2020-21, 2021-22",482769.0,Alexis Trouillet,exact_name_plus_birth_year,True,alexis trouillet,2000
Alexsandro Ribeiro,1999.0,BRA,DF,1,1,2,Lille,FRA-Ligue 1,"2022-23, 2023-24",,,,False,alexsandro ribeiro,1999
Aleš Matějů,1996.0,CZE,"DF, DF,MF",2,1,2,"Brescia, Venezia",ITA-Serie A,"2019-20, 2021-22",242078.0,Ales Mateju,exact_name_plus_birth_year,True,aleš matějů,1996
Alfa Semedo,1997.0,GNB,MF,1,1,1,Espanyol,ESP-La Liga,2018-19,359210.0,Alfa Semedo,exact_name_plus_birth_year,True,alfa semedo,1997
Alfie Devine,2004.0,ENG,MF,1,1,3,Tottenham Hotspur,ENG-Premier League,"2020-21, 2021-22, 2022-23",728734.0,Alfie Devine,exact_name_plus_birth_year,True,alfie devine,2004
Alfie Dorrington,2005.0,ENG,DF,1,1,1,Tottenham Hotspur,ENG-Premier League,2023-24,796300.0,Alfie Dorrington,exact_name_plus_birth_year,True,alfie dorrington,2005
Alfie Doughty,1999.0,ENG,"MF,DF",1,1,1,Luton Town,ENG-Premier League,2023-24,608175.0,Alfie Doughty,exact_name_plus_birth_year,True,alfie doughty,1999
Alfie Gilchrist,2003.0,ENG,DF,1,1,2,Chelsea,ENG-Premier League,"2022-23, 2023-24",790992.0,Alfie Gilchrist,exact_name_plus_birth_year,True,alfie gilchrist,2003
Alfie Jones,1997.0,CAN,"DF,MF",1,1,1,Southampton,ENG-Premier League,2018-19,340990.0,Alfie Jones,exact_name_plus_birth_year,True,alfie jones,1997
Alfie Lewis,1999.0,ENG,MF,1,1,1,West Ham United,ENG-Premier League,2019-20,423571.0,Alfie Lewis,exact_name_plus_birth_year,True,alfie lewis,1999
Alfie Mawson,1994.0,ENG,DF,1,1,1,Fulham,ENG-Premier League,2018-19,287431.0,Alfie Mawson,exact_name_plus_birth_year,True,alfie mawson,1994
Alfie Whiteman,1998.0,ENG,GK,1,1,3,Tottenham Hotspur,ENG-Premier League,"2018-19, 2019-20, 2023-24",282823.0,Alfie Whiteman,exact_name_plus_birth_year,True,alfie whiteman,1998
Alfon,1999.0,ESP,FW,1,1,2,Celta Vigo,ESP-La Liga,"2020-21, 2021-22",,,,False,alfon,1999
Alfonso,1999.0,MOZ,"DF,MF",1,1,2,Hoffenheim,GER-Bundesliga,"2018-19, 2020-21",,,,False,alfonso,1999
Alfonso Espino,1992.0,URU,DF,2,1,4,"Cádiz, Rayo Vallecano",ESP-La Liga,"2020-21, 2021-22, 2022-23, 2023-24",311044.0,Alfonso Espino,exact_name_plus_birth_year,True,alfonso espino,1992
Alfonso Pastor,2000.0,ESP,GK,1,1,3,Sevilla,ESP-La Liga,"2019-20, 2020-21, 2021-22",537367.0,Alfonso Pastor,exact_name_plus_birth_year,True,alfonso pastor,2000
Alfonso Pedraza,1996.0,ESP,"DF, DF,MF, MF,DF",2,1,6,"Real Betis, Villarreal",ESP-La Liga,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",356197.0,Alfonso Pedraza,exact_name_plus_birth_year,True,alfonso pedraza,1996
Alfred Duncan,1993.0,GHA,MF,3,1,6,"Cagliari, Fiorentina, Sassuolo",ITA-Serie A,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",184894.0,Alfred Duncan,exact_name_plus_birth_year,True,alfred duncan,1993
Alfred Gomis,1993.0,SEN,GK,4,2,5,"Dijon, Lorient, Rennes, SPAL","FRA-Ligue 1, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2023-24",163568.0,Alfred Gomis,exact_name_plus_birth_year,True,alfred gomis,1993
Alfredo Donnarumma,1990.0,ITA,FW,1,1,1,Brescia,ITA-Serie A,2019-20,130485.0,Alfredo Donnarumma,exact_name_plus_birth_year,True,alfredo donnarumma,1990
Alfredo Morales,1990.0,USA,MF,1,1,2,Düsseldorf,GER-Bundesliga,"2018-19, 2019-20",58500.0,Alfredo Morales,exact_name_plus_birth_year,True,alfredo morales,1990
Alfredo Pedraza,2000.0,ESP,DF,1,1,1,Levante,ESP-La Liga,2020-21,618806.0,Alfredo Pedraza,exact_name_plus_birth_year,True,alfredo pedraza,2000
Alfreð Finnbogason,1989.0,ISL,"FW, FW,MF",1,1,4,Augsburg,GER-Bundesliga,"2018-19, 2019-20, 2020-21, 2021-22",,,,False,alfreð finnbogason,1989
Ali Adnan Kadhim,1993.0,IRQ,MF,1,1,1,Atalanta,ITA-Serie A,2018-19,,,,False,ali adnan kadhim,1993
Ali Dembélé,2004.0,FRA,DF,1,1,2,Torino,ITA-Serie A,"2022-23, 2023-24",1004344.0,Ali Dembélé,exact_name_plus_birth_year,True,ali dembélé,2004
Ali Kalla,1998.0,FRA,DF,1,1,1,Angers,FRA-Ligue 1,2021-22,807687.0,Ali Kalla,exact_name_plus_birth_year,True,ali kalla,1998
Ali Koiki,1999.0,ENG,"DF,MF",1,1,2,Burnley,ENG-Premier League,"2018-19, 2019-20",641441.0,Ali Koiki,exact_name_plus_birth_year,True,ali koiki,1999
Alidu Seidu,2000.0,GHA,DF,2,1,3,"Clermont Foot, Rennes",FRA-Ligue 1,"2021-22, 2022-23, 2023-24",798404.0,Alidu Seidu,exact_name_plus_birth_year,True,alidu seidu,2000
Alieu Njie,2005.0,SWE,FW,1,1,1,Torino,ITA-Serie A,2023-24,934527.0,Alieu Njie,exact_name_plus_birth_year,True,alieu njie,2005
Aliou Badara Baldé,2002.0,GUI,FW,1,1,1,Nice,FRA-Ligue 1,2023-24,,,,False,aliou badara baldé,2002
Aliou Thiaré,2003.0,SEN,DF,1,1,1,Le Havre,FRA-Ligue 1,2023-24,949111.0,Aliou Thiaré,exact_name_plus_birth_year,True,aliou thiaré,2003
Alireza Jahanbakhsh,1993.0,IRN,"MF,FW",1,1,3,Brighton,ENG-Premier League,"2018-19, 2019-20, 2020-21",213268.0,Alireza Jahanbakhsh,exact_name_plus_birth_year,True,alireza jahanbakhsh,1993
Alisson,1992.0,BRA,GK,1,1,6,Liverpool,ENG-Premier League,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",105470.0,Alisson,exact_name_plus_birth_year,True,alisson,1992
Aljoscha Kemlein,2004.0,GER,MF,1,1,2,Union Berlin,GER-Bundesliga,"2022-23, 2023-24",692737.0,Aljoscha Kemlein,exact_name_plus_birth_year,True,aljoscha kemlein,2004
Alkhaly Momo Cissé,2002.0,GUI,FW,1,1,1,Stuttgart,GER-Bundesliga,2020-21,,,,False,alkhaly momo cissé,2002
Allan,1991.0,BRA,"DF,MF, MF",2,2,5,"Everton, Napoli","ENG-Premier League, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22, 2022-23",126422.0,Allan,exact_name_plus_birth_year,True,allan,1991
Allan,1997.0,BRA,MF,1,1,1,Eintracht Frankfurt,GER-Bundesliga,2018-19,385271.0,Allan,exact_name_plus_birth_year,True,allan,1997
Allan Campbell,1998.0,SCO,MF,1,1,1,Luton Town,ENG-Premier League,2023-24,347619.0,Allan Campbell,exact_name_plus_birth_year,True,allan campbell,1998
Allan Nyom,1988.0,CMR,"DF, DF,MF, MF,DF",2,1,4,"Getafe, Leganés",ESP-La Liga,"2018-19, 2019-20, 2020-21, 2021-22",111508.0,Allan Nyom,exact_name_plus_birth_year,True,allan nyom,1988
Allan Saint-Maximin,1997.0,FRA,"FW, FW,MF, MF",2,2,5,"Newcastle United, Nice","ENG-Premier League, FRA-Ligue 1","2018-19, 2019-20, 2020-21, 2021-22, 2022-23",272642.0,Allan Saint-Maximin,exact_name_plus_birth_year,True,allan saint-maximin,1997
Allan Tchaptchet,2001.0,FRA,DF,1,1,1,Southampton,ENG-Premier League,2020-21,465294.0,Allan Tchaptchet,exact_name_plus_birth_year,True,allan tchaptchet,2001
Almamy Touré,1996.0,MLI,"DF, DF,MF, MF, MF,DF",2,2,5,"Eintracht Frankfurt, Monaco","FRA-Ligue 1, GER-Bundesliga","2018-19, 2019-20, 2020-21, 2021-22, 2022-23",216181.0,Almamy Touré,exact_name_plus_birth_year,True,almamy touré,1996
Alois Confais,1996.0,FRA,"DF,MF",1,1,1,Le Havre,FRA-Ligue 1,2023-24,292820.0,Aloïs Confais,exact_name_plus_birth_year,True,alois confais,1996
Alou Kuol,2000.0,AUS,FW,1,1,1,Stuttgart,GER-Bundesliga,2022-23,,,,False,alou kuol,2000
Alphadjo Cissè,2006.0,ITA,MF,1,1,2,Hellas Verona,ITA-Serie A,"2022-23, 2023-24",964087.0,Alphadjo Cissè,exact_name_plus_birth_year,True,alphadjo cissè,2006
Alphonse Areola,1993.0,FRA,GK,4,3,6,"Fulham, Paris Saint-Germain, Real Madrid, West Ham United","ENG-Premier League, ESP-La Liga, FRA-Ligue 1","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",120629.0,Alphonse Areola,exact_name_plus_birth_year,True,alphonse areola,1993
Alphonso Davies,2000.0,CAN,"DF, DF,FW, DF,MF",1,1,6,Bayern Munich,GER-Bundesliga,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",424204.0,Alphonso Davies,exact_name_plus_birth_year,True,alphonso davies,2000
Altay Bayındır,1998.0,TUR,GK,1,1,1,Manchester Utd,ENG-Premier League,2023-24,336077.0,Altay Bayındır,exact_name_plus_birth_year,True,altay bayındır,1998
Altin Kryeziu,2002.0,KVX,MF,2,1,2,"SPAL, Torino",ITA-Serie A,"2019-20, 2020-21",637117.0,Altin Kryeziu,exact_name_plus_birth_year,True,altin kryeziu,2002
Altube,2000.0,ESP,GK,1,1,2,Real Madrid,ESP-La Liga,"2019-20, 2020-21",,,,False,altube,2000
Alvaro Sanz,2001.0,ESP,MF,1,1,1,Barcelona,ESP-La Liga,2021-22,466806.0,Álvaro Sanz,exact_name_plus_birth_year,True,alvaro sanz,2001
Aly Mallé,1998.0,MLI,FW,1,1,1,Udinese,ITA-Serie A,2019-20,398809.0,Aly Malle,exact_name_plus_birth_year,True,aly mallé,1998
Aly Ndom,1996.0,FRA,MF,2,1,1,"Caen, Reims",FRA-Ligue 1,2018-19,396131.0,Aly Ndom,exact_name_plus_birth_year,True,aly ndom,1996
Amad Diallo,2002.0,CIV,"FW,MF, MF",2,2,4,"Atalanta, Manchester Utd","ENG-Premier League, ITA-Serie A","2019-20, 2020-21, 2021-22, 2023-24",536835.0,Amad Diallo,exact_name_plus_birth_year,True,amad diallo,2002
Amadou Dia Ndiaye,2000.0,SEN,FW,1,1,1,Metz,FRA-Ligue 1,2019-20,,,,False,amadou dia ndiaye,2000
Amadou Diallo,2003.0,ENG,FW,1,1,1,Newcastle United,ENG-Premier League,2023-24,533086.0,Amadou Diallo,exact_name_plus_birth_year,True,amadou diallo,2003
Amadou Diambo,2001.0,GHA,MF,1,1,1,Benevento,ITA-Serie A,2020-21,708868.0,Amadou Diambo,exact_name_plus_birth_year,True,amadou diambo,2001
Amadou Diawara,1997.0,GUI,MF,2,1,4,"Napoli, Roma",ITA-Serie A,"2018-19, 2019-20, 2020-21, 2021-22",355501.0,Amadou Diawara,exact_name_plus_birth_year,True,amadou diawara,1997
Amadou Haidara,1998.0,MLI,MF,1,1,6,RB Leipzig,GER-Bundesliga,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",402008.0,Amadou Haidara,exact_name_plus_birth_year,True,amadou haidara,1998
Amadou Koné,2005.0,MLI,MF,1,1,1,Reims,FRA-Ligue 1,2023-24,1178474.0,Amadou Koné,exact_name_plus_birth_year,True,amadou koné,2005
Amadou Mbengue,2002.0,SEN,DF,1,1,1,Metz,FRA-Ligue 1,2021-22,,,,False,amadou mbengue,2002
Amadou Onana,2001.0,BEL,MF,2,2,3,"Everton, Lille","ENG-Premier League, FRA-Ligue 1","2021-22, 2022-23, 2023-24",485706.0,Amadou Onana,exact_name_plus_birth_year,True,amadou onana,2001
Amadou Sarr,2004.0,SEN,FW,1,1,1,Inter,ITA-Serie A,2023-24,723771.0,Amadou Sarr,exact_name_plus_birth_year,True,amadou sarr,2004
Amadou Traore,2002.0,FRA,FW,1,1,2,Bordeaux,FRA-Ligue 1,"2020-21, 2021-22",540665.0,Amadou Traoré,exact_name_plus_birth_year,True,amadou traore,2002
Amar Ahmed,2004.0,SWE,FW,1,1,1,Troyes,FRA-Ligue 1,2022-23,,,,False,amar ahmed,2004
Amara Nallo,2006.0,ENG,DF,1,1,1,Liverpool,ENG-Premier League,2023-24,1108049.0,Amara Nallo,exact_name_plus_birth_year,True,amara nallo,2006
Amari'i Bell,1994.0,JAM,DF,1,1,1,Luton Town,ENG-Premier League,2023-24,278166.0,Amari'i Bell,exact_name_plus_birth_year,True,amari'i bell,1994
Amario Cozier-Duberry,2005.0,ENG,"FW,MF",1,1,1,Arsenal,ENG-Premier League,2022-23,878150.0,Amario Cozier-Duberry,exact_name_plus_birth_year,True,amario cozier-duberry,2005
Amath,1996.0,SEN,"FW,MF, MF, MF,FW",2,1,5,"Getafe, Mallorca",ESP-La Liga,"2018-19, 2019-20, 2021-22, 2022-23, 2023-24",,,,False,amath,1996
Amato Ciciretti,1993.0,ITA,FW,1,1,1,Parma,ITA-Serie A,2018-19,159902.0,Amato Ciciretti,exact_name_plus_birth_year,True,amato ciciretti,1993
Amay Caprice,2004.0,FRA,DF,1,1,1,Marseille,FRA-Ligue 1,2021-22,743494.0,Amay Caprice,exact_name_plus_birth_year,True,amay caprice,2004
Ambroise Oyongo,1991.0,CMR,"DF,MF, MF",1,1,4,Montpellier,FRA-Ligue 1,"2018-19, 2019-20, 2020-21, 2021-22",184922.0,Ambroise Oyongo,exact_name_plus_birth_year,True,ambroise oyongo,1991
Ameen Al-Dakhil,2002.0,BEL,DF,1,1,1,Burnley,ENG-Premier League,2023-24,620598.0,Ameen Al-Dakhil,exact_name_plus_birth_year,True,ameen al-dakhil,2002
Amer Gojak,1997.0,BIH,"MF,FW",1,1,1,Torino,ITA-Serie A,2020-21,293210.0,Amer Gojak,exact_name_plus_birth_year,True,amer gojak,1997
Amidou Doumbouya,2007.0,FRA,MF,1,1,1,Nice,FRA-Ligue 1,2023-24,1075574.0,Amidou Doumbouya,exact_name_plus_birth_year,True,amidou doumbouya,2007
Amin Sarr,2001.0,SWE,"FW, MF,FW",2,2,2,"Lyon, Wolfsburg","FRA-Ligue 1, GER-Bundesliga","2022-23, 2023-24",748382.0,Amin Sarr,exact_name_plus_birth_year,True,amin sarr,2001
Amin Younes,1993.0,GER,"FW,MF, MF, MF,FW",2,2,4,"Eintracht Frankfurt, Napoli","GER-Bundesliga, ITA-Serie A","2018-19, 2019-20, 2020-21, 2021-22",96167.0,Amin Younes,exact_name_plus_birth_year,True,amin younes,1993
Amine Adli,2000.0,MAR,"FW,MF, MF,FW",2,2,4,"Leverkusen, Toulouse","FRA-Ligue 1, GER-Bundesliga","2019-20, 2021-22, 2022-23, 2023-24",532776.0,Amine Adli,exact_name_plus_birth_year,True,amine adli,2000
Amine Bassi,1997.0,FRA,"MF,FW",1,1,1,Metz,FRA-Ligue 1,2021-22,506009.0,Amine Bassi,exact_name_plus_birth_year,True,amine bassi,1997
Amine Gouiri,2000.0,ALG,"FW,MF, MF,FW",3,1,5,"Lyon, Nice, Rennes",FRA-Ligue 1,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",418659.0,Amine Gouiri,exact_name_plus_birth_year,True,amine gouiri,2000
Amine Harit,1997.0,MAR,"MF, MF,FW",2,2,6,"Marseille, Schalke 04","FRA-Ligue 1, GER-Bundesliga","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",372711.0,Amine Harit,exact_name_plus_birth_year,True,amine harit,1997
Amine Messoussa,2004.0,ALG,FW,1,1,2,Lille,FRA-Ligue 1,"2022-23, 2023-24",934154.0,Amine Messoussa,exact_name_plus_birth_year,True,amine messoussa,2004
Amine Salama,2000.0,FRA,"FW, FW,MF",2,1,2,"Angers, Reims",FRA-Ligue 1,"2022-23, 2023-24",980576.0,Amine Salama,exact_name_plus_birth_year,True,amine salama,2000
Amir Abrashi,1990.0,ALB,MF,1,1,3,Freiburg,GER-Bundesliga,"2018-19, 2019-20, 2020-21",66005.0,Amir Abrashi,exact_name_plus_birth_year,True,amir abrashi,1990
Amir Adouyev,1999.0,RUS,MF,1,1,2,Montpellier,FRA-Ligue 1,"2018-19, 2019-20",,,,False,amir adouyev,1999
Amir Arli,2003.0,,MF,1,1,1,Dijon,FRA-Ligue 1,2020-21,662142.0,Amir Arli,exact_name_plus_birth_year,True,amir arli,2003
Amir Feratovič,2002.0,SVN,MF,1,1,1,Roma,ITA-Serie A,2020-21,627439.0,Amir Feratovic,exact_name_plus_birth_year,True,amir feratovič,2002
Amir Richardson,2002.0,MAR,MF,1,1,1,Reims,FRA-Ligue 1,2023-24,893675.0,Amir Richardson,exact_name_plus_birth_year,True,amir richardson,2002
Amir Rrahmani,1994.0,KVX,DF,2,1,5,"Hellas Verona, Napoli",ITA-Serie A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",257732.0,Amir Rrahmani,exact_name_plus_birth_year,True,amir rrahmani,1994
