player,born,nation,positions,team_count,league_count,season_count,teams,leagues,seasons,player_id,matched_name,match_type,matched_flag,join_player,born_int
Otávio,1994.0,BRA,MF,1,1,4,Bordeaux,FRA-Ligue 1,"2018-19, 2019-20, 2020-21, 2021-22",312314.0,Otávio,exact_name_plus_birth_year,True,otávio,1994
Oualid El Hajjam,1991.0,MAR,"DF, DF,MF",3,1,3,"Amiens, Le Havre, Troyes",FRA-Ligue 1,"2018-19, 2021-22, 2023-24",283127.0,Oualid El Hajjam,exact_name_plus_birth_year,True,oualid el hajjam,1991
Oucasse Mendy,2001.0,FRA,MF,1,1,1,Montpellier,FRA-Ligue 1,2020-21,859536.0,Oucasse Mendy,exact_name_plus_birth_year,True,oucasse mendy,2001
Oumar Diakité,2003.0,CIV,FW,1,1,1,Reims,FRA-Ligue 1,2023-24,847279.0,Oumar Diakité,exact_name_plus_birth_year,True,oumar diakité,2003
Oumar Gonzalez,1998.0,CMR,DF,1,1,1,Ajaccio,FRA-Ligue 1,2022-23,388795.0,Oumar Gonzalez,exact_name_plus_birth_year,True,oumar gonzalez,1998
Oumar Niasse,1990.0,SEN,"FW, FW,MF",2,1,2,"Cardiff City, Everton",ENG-Premier League,"2018-19, 2019-20",209781.0,Oumar Niasse,exact_name_plus_birth_year,True,oumar niasse,1990
Oumar Solet,2000.0,FRA,DF,1,1,2,Lyon,FRA-Ligue 1,"2018-19, 2019-20",463665.0,Oumar Solet,exact_name_plus_birth_year,True,oumar solet,2000
Ouparine Djoco,1998.0,GNB,GK,1,1,2,Clermont Foot,FRA-Ligue 1,"2021-22, 2022-23",594993.0,Ouparine Djoco,exact_name_plus_birth_year,True,ouparine djoco,1998
Ousmane Ba,2002.0,SEN,GK,1,1,2,Metz,FRA-Ligue 1,"2020-21, 2021-22",666975.0,Ousmane Ba,exact_name_plus_birth_year,True,ousmane ba,2002
Ousmane Camara,2001.0,GUI,FW,1,1,1,Auxerre,FRA-Ligue 1,2022-23,827950.0,Ousmane Camara,exact_name_plus_birth_year,True,ousmane camara,2001
Ousmane Camara,2003.0,MLI,DF,1,1,1,Angers,FRA-Ligue 1,2022-23,804711.0,Ousmane Camara,exact_name_plus_birth_year,True,ousmane camara,2003
